@relation weathersymbolic

@attribute outlook {sunny, overcast, rainy}
@attribute temperature {hot, mild, cool}
@attribute humidity {high, normal}
@attribute windy {TRUE, FALSE}
@attribute play {yes, no}

@data
sunny,hot,high,FALSE,no
sunny,hot,high,TRUE,no
sunny,mild,high,FALSE,no
rainy,cool,normal,TRUE,no
rainy,mild,high,TRUE,no

rainy,mild,high,FALSE,yes
rainy,cool,normal,FALSE,yes
rainy,mild,normal,FALSE,yes
overcast,cool,normal,TRUE,yes
overcast,hot,high,FALSE,yes
overcast,mild,high,TRUE,yes
overcast,hot,normal,FALSE,yes
sunny,cool,normal,FALSE,yes
sunny,mild,normal,TRUE,yes

